timestamp,pca_abbrev,load_mw,source
2016-05-30 21:00:00,CL,5891,CL
2016-05-31 21:00:00,CL,5963,CL
2016-06-01 21:00:00,CL,6067,CL
2016-06-02 21:00:00,CL,6253,CL
2016-06-03 21:00:00,CL,5892,CL
2016-06-04 21:00:00,CL,5700,CL
2016-06-05 21:00:00,CL,5624,CL
2016-06-06 21:00:00,CL,6004,CL
2016-06-07 21:00:00,CL,5913,CL
2016-06-08 21:00:00,CL,5938,CL
2016-06-09 21:00:00,CL,5995,CL
2016-06-10 21:00:00,CL,6045,CL
2016-06-11 21:00:00,CL,5720,CL
2016-06-12 21:00:00,CL,5392,CL
2016-06-13 21:00:00,CL,5969,CL
2016-06-14 21:00:00,CL,5955,CL
2016-06-15 21:00:00,CL,6009,CL
2016-06-16 21:00:00,CL,6007,CL
2016-06-17 21:00:00,CL,6057,CL
2016-06-18 21:00:00,CL,5889,CL
2016-06-19 21:00:00,CL,5608,CL
2016-06-20 21:00:00,CL,6040,CL
2016-06-21 21:00:00,CL,6079,CL
